,text,total_num_physical_reads,min_rows,max_rows,query_hash,query_plan_hash,execution_count,ExecutionTime,QueryText,QueryPlan
37,"
      SELECT b1.device_type,
      ISNULL(b1.[type],'NULL') AS backup_type,
      b1.is_copy_only,
      b1.time_bucket,
      b1.compressed_backup_size_bucket,
      b1.compression_percent_bucket,
      b1.backup_throughput_bucket,
      COUNT_BIG(b1.device_type) AS 'count',
      b1.encryption
      FROM
      (
      SELECT
      mf.device_type,
      bset.[type],
      CAST(bset.[is_copy_only] AS INT) AS [is_copy_only],
      CASE
      WHEN DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0                    THEN 0
      WHEN DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date])      BETWEEN 1 AND 30       THEN 1
      WHEN DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date])      BETWEEN 30 AND 60      THEN 2
      WHEN DATEDIFF(MINUTE, bset.[backup_start_date], bset.[backup_finish_date])      BETWEEN 1 AND 5        THEN 3
      WHEN DATEDIFF(MINUTE, bset.[backup_start_date], bset.[backup_finish_date])      BETWEEN 5 AND 10       THEN 4
      WHEN DATEDIFF(MINUTE, bset.[backup_start_date], bset.[backup_finish_date])      BETWEEN 10 AND 30      THEN 5
      WHEN DATEDIFF(MINUTE, bset.[backup_start_date], bset.[backup_finish_date])      BETWEEN 30 AND 60      THEN 6
      WHEN DATEDIFF(HOUR, bset.[backup_start_date], bset.[backup_finish_date])        BETWEEN 1 AND 2        THEN 7
      WHEN DATEDIFF(HOUR, bset.[backup_start_date], bset.[backup_finish_date])        BETWEEN 2 AND 6        THEN 8
      WHEN DATEDIFF(HOUR, bset.[backup_start_date], bset.[backup_finish_date])        BETWEEN 6 AND 12       THEN 9
      WHEN DATEDIFF(HOUR, bset.[backup_start_date], bset.[backup_finish_date])        BETWEEN 12 AND 24      THEN 10
      ELSE 99
      END
      AS 'time_bucket',
      CASE
      WHEN CAST(ISNULL(bset.compressed_backup_size, 0) / 1048576 AS FLOAT) BETWEEN 0 AND 1          THEN 0
      WHEN CAST(ISNULL(bset.compressed_backup_size, 0) / 1048576 AS FLOAT) BETWEEN 1 AND 5          THEN 1
      WHEN CAST(ISNULL(bset.compressed_backup_size, 0) / 1048576 AS FLOAT) BETWEEN 5 AND 25         THEN 2
      WHEN CAST(ISNULL(bset.compressed_backup_size, 0) / 1048576 AS FLOAT) BETWEEN 25 AND 100       THEN 3
      WHEN CAST(ISNULL(bset.compressed_backup_size, 0) / 1048576 AS FLOAT) BETWEEN 100 AND 500      THEN 4
      WHEN CAST(ISNULL(bset.compressed_backup_size, 0) / 1048576 AS FLOAT) BETWEEN 500 AND 1000     THEN 5
      WHEN CAST(ISNULL(bset.compressed_backup_size, 0) / 1048576 AS FLOAT) BETWEEN 1000 AND 5000    THEN 6
      WHEN CAST(ISNULL(bset.compressed_backup_size, 0) / 1048576 AS FLOAT) BETWEEN 5000 AND 10000   THEN 7
      WHEN CAST(ISNULL(bset.compressed_backup_size, 0) / 1048576 AS FLOAT) BETWEEN 10000 AND 50000  THEN 8
      WHEN CAST(ISNULL(bset.compressed_backup_size, 0) / 1048576 AS FLOAT) BETWEEN 50000 AND 100000 THEN 9
      ELSE 99
      END
      AS compressed_backup_size_bucket,
      CASE
      WHEN CAST(((ISNULL(bset.backup_size,0) - ISNULL(bset.compressed_backup_size,0)) /
      CASE WHEN bset.backup_size <= 0 THEN 1
      ELSE ISNULL(bset.backup_size, 1)
      END
      ) * 100  AS FLOAT) = 0.0 THEN 0
      ELSE (CAST(((ISNULL(bset.backup_size,0) - ISNULL(bset.compressed_backup_size,0)) /
      CASE WHEN bset.backup_size <= 0 THEN 1
      ELSE ISNULL(bset.backup_size, 1)
      END
      ) * 100  AS INT)/10) + 1
      END
      AS compression_percent_bucket,
      CASE
      WHEN CAST(CAST(ISNULL(bset.compressed_backup_size, 0) / 1024 AS FLOAT) / (CASE WHEN  DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0 THEN 1 END) AS FLOAT) = 0.0                       THEN 0
      WHEN CAST(CAST(ISNULL(bset.compressed_backup_size, 0) / 1024 AS FLOAT) / (CASE WHEN  DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0 THEN 1 END) AS FLOAT) BETWEEN  0 AND 100          THEN 1
      WHEN CAST(CAST(ISNULL(bset.compressed_backup_size, 0) / 1024 AS FLOAT) / (CASE WHEN  DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0 THEN 1 END) AS FLOAT) BETWEEN  100 AND 500        THEN 2
      WHEN CAST(CAST(ISNULL(bset.compressed_backup_size, 0) / 1024 AS FLOAT) / (CASE WHEN  DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0 THEN 1 END) AS FLOAT) BETWEEN  500 AND 1000       THEN 3
      WHEN CAST(CAST(ISNULL(bset.compressed_backup_size, 0) / 1024 AS FLOAT) / (CASE WHEN  DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0 THEN 1 END) AS FLOAT) BETWEEN  1000 AND 5000      THEN 4
      WHEN CAST(CAST(ISNULL(bset.compressed_backup_size, 0) / 1024 AS FLOAT) / (CASE WHEN  DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0 THEN 1 END) AS FLOAT) BETWEEN  5000 AND 10000     THEN 5
      WHEN CAST(CAST(ISNULL(bset.compressed_backup_size, 0) / 1024 AS FLOAT) / (CASE WHEN  DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0 THEN 1 END) AS FLOAT) BETWEEN  10000 AND 20000    THEN 6
      WHEN CAST(CAST(ISNULL(bset.compressed_backup_size, 0) / 1024 AS FLOAT) / (CASE WHEN  DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0 THEN 1 END) AS FLOAT) BETWEEN  20000 AND 30000    THEN 7
      WHEN CAST(CAST(ISNULL(bset.compressed_backup_size, 0) / 1024 AS FLOAT) / (CASE WHEN  DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0 THEN 1 END) AS FLOAT) BETWEEN  30000 AND 50000    THEN 8
      WHEN CAST(CAST(ISNULL(bset.compressed_backup_size, 0) / 1024 AS FLOAT) / (CASE WHEN  DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0 THEN 1 END) AS FLOAT) BETWEEN  50000 AND 100000   THEN 9
      WHEN CAST(CAST(ISNULL(bset.compressed_backup_size, 0) / 1024 AS FLOAT) / (CASE WHEN  DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0 THEN 1 END) AS FLOAT) BETWEEN  100000 AND 500000  THEN 10
      WHEN CAST(CAST(ISNULL(bset.compressed_backup_size, 0) / 1024 AS FLOAT) / (CASE WHEN  DATEDIFF(SECOND, bset.[backup_start_date], bset.[backup_finish_date]) = 0 THEN 1 END) AS FLOAT) BETWEEN  500000 AND 1000000 THEN 11
      ELSE 99
      END
      AS backup_throughput_bucket, -- in KB
      CASE
      WHEN bset.encryptor_type like '%CERTIFICATE%' THEN 1
      WHEN bset.encryptor_type like '%ASYMMETRIC KEY%' THEN 2
      ELSE 0
      END
      AS encryption
      FROM [msdb].[dbo].[backupset] bset WITH (READUNCOMMITTED)
      JOIN [msdb].[dbo].[backupmediafamily]  mf WITH (READUNCOMMITTED) ON  mf.media_set_id = bset.media_set_id
      WHERE
      backup_finish_date <= GETDATE() and backup_finish_date > DATEADD(hh, -24, GETDATE() )
      ) AS b1
      GROUP BY
      b1.device_type,
      b1.[type],
      b1.is_copy_only,
      b1.time_bucket,
      b1.compressed_backup_size_bucket,
      b1.compression_percent_bucket,
      b1.backup_throughput_bucket,
      b1.encryption

    ",1,0,0,b'B\xce\xa1\x86)\x16\x04\n',b's\xa8\xe9@\x88\xc8\x9cJ',1,,,
38,"
      select
      group_id,
      replica_id,
      availability_mode,
      failover_mode,
      primary_role_allow_connections,
      secondary_role_allow_connections,
      LEN(ISNULL(read_only_routing_url, '')) as read_only_routing_url_length,
      seeding_mode,
      session_timeout
      from sys.availability_replicas WITH(nolock) where group_id in
      (select group_id from sys.dm_hadr_availability_replica_states WITH(nolock) where is_local = 1 and role = 1)
    ",0,0,0,b'\xf9OCvm\x94\x028',b'\x89^\x8ab{\x7fr\xc2',1,,,
39,"
      select
      case
      when (listener_id IS NOT NULL) then 1
      else 0
      end AS [listener_used]
      from sys.availability_group_listeners WITH(nolock) where group_id in
      (select group_id from sys.dm_hadr_availability_replica_states WITH(nolock) where is_local = 1 and role = 1)
    ",0,0,0,b'i\xd4K\x06~\xb2)\xa2',b'\xdc\xa4\xfd}RR\xef\x03',1,,,
40,"
      select
      group_id,
      automated_backup_preference AS [BackupPreference],
      failure_condition_level,
      health_check_timeout,
      dtc_support,
      db_failover,
      is_distributed,
      required_synchronized_secondaries_to_commit,
      cluster_type,
      sequence_number
      from sys.availability_groups where group_id in
      (select group_id from sys.dm_hadr_availability_replica_states WITH(nolock) where is_local = 1 and role = 1)
    ",0,0,0,"b'\x98\x82\x84\xd0\xc2v\x9d,'",b'\xa0\xa4\x8e\xe2\xeb\x98\x87L',1,,,
41,"
      select COUNT_BIG(*) AS [NumReplicaPerAG]
      from sys.dm_hadr_availability_replica_states where group_id in
      (select group_id from sys.dm_hadr_availability_replica_states WITH(nolock) where is_local = 1 and role = 1) group by group_id
    ",0,0,0,b'\x0c%\xf4\xd7d\x90\x92\x7f',b'\x0e\xc8\xfa(\x8a)\x1a\xbf',1,,,
42,"
      select COUNT_BIG(*) AS [NumDBperAG] from sys.dm_hadr_database_replica_states where group_id in
      (select group_id from sys.dm_hadr_availability_replica_states WITH(nolock) where is_local = 1 and role = 1) and is_local = 1 group by group_id
    ",0,0,0,b'\x04X\x90R05\xca/',b'\xa3\xf3\xbc1\xaf\xc9f\x05',1,,,
43,"
      select COUNT_BIG(*) as [NumAGinServer] from sys.availability_groups WITH(nolock)
    ",0,1,1,b'\xfb\xbeS$\xd9\x1a\x9c\xb9',b'\x0e\x0b4\xca\xfd\xb9\xb9E',1,,,
44,"
      select COUNT_BIG(distinct audit_action_name) AS ServerAuditActionCount
      from sys.server_audit_specification_details WITH(nolock)
    ",0,1,1,b'\x1fF*O]\xe8s\xa7',"b""\xf2\xbe^\x10[}\x0f'""",1,,,
45,"
      select
      type_desc,
      on_failure_desc,
      queue_delay,
      is_state_enabled
      from sys.server_audits WITH(nolock)
    ",0,0,0,"b""\x9f\xb4''\xd5\xf8\x98\r""",b'!\xd4\xd0\r\xa6S\xe1\x0c',1,,,
46,"
      SELECT
      cpu_count AS LogicalCPUCount,
      hyperthread_ratio AS HyperthreadRatio,
      physical_memory_kb/1024.0 AS PhysicalMemoryMB,
      CONVERT(VARCHAR(20), sqlserver_start_time,  120) AS SQLServerStartTime,
      affinity_type_desc AS AffinityTypeDesc,
      virtual_machine_type AS VirtualMachineType,
      socket_count as SocketCount,
      cores_per_socket as CoresPerSocket,
      numa_node_count as NumaNodeCount,
      container_type as ContainerType,
      container_type_desc as ContainerDescription
      FROM sys.dm_os_sys_info WITH(nolock)
    ",0,1,1,"b'\tF\x11\xe1\x8c,\x82\x89'",b'\xbcA\xc3sz\xf6c\xea',1,,,
47,(@1 tinyint)SELECT COUNT_BIG(*) [number_of_forwarders] FROM [sys].[service_broker_endpoints] WITH(nolock)  WHERE [is_message_forwarding_enabled]=@1,0,1,1,b'&\x81\xbb\xb16\xaf\xfe\x95',b'|W\x9e\x922\x1d\xaa\xf3',1,,,
48,"
      SELECT COUNT_BIG(*) AS SBConnections FROM sys.dm_broker_connections WITH(nolock)
    ",0,1,1,b'\xdeb\xd3\xdd\xa2\x8f7%',b'\x85v8\x921\x84\x8af',1,,,
49,"
      SELECT protocol AS [sProtocolId], COUNT_BIG(*) AS [sNumProtocols] FROM master.sys.endpoints WITH(nolock) GROUP BY protocol
    ",0,4,4,"b""{'\x0e[\xa5\xa25\x8b""",b'\\+\x08\x85\x01V\xcb\xa0',1,,,
50,"
      DECLARE @i bigint
      SET @i = (SELECT CASE WHEN occurrence = 0 THEN NULL ELSE occurrence END FROM sys.dm_exec_query_optimizer_info WITH(nolock) WHERE counter = N'optimizations')

      SELECT
      MAX(CASE counter WHEN N'trivial plan' THEN CONVERT(INT, 100000000 * (occurrence * 1.0) / @i) END) AS [SqlQOFracTrivPlan],
      MAX(CASE counter WHEN N'search 0' THEN CONVERT(INT, 100000000 * (occurrence * 1.0) / @i) END) AS [SqlQOFracSearch0],
      MAX(CASE counter WHEN N'search 1' THEN CONVERT(INT, 100000000 * (occurrence * 1.0) / @i) END) AS [SqlQOFracSearch1],
      MAX(CASE counter WHEN N'search 2' THEN CONVERT(INT, 100000000 * (occurrence * 1.0) / @i) END) AS [SqlQOFracSearch2],
      MAX(CASE counter WHEN N'timeout' THEN CONVERT(INT, 100000000 * (occurrence * 1.0) / @i) END) AS [SqlQOFracTimeout],
      MAX(CASE counter WHEN N'memory limit exceeded' THEN CONVERT(INT, 100000000 * (occurrence * 1.0) / @i) END) AS [SqlQOFracMemLimit],
      MAX(CASE counter WHEN N'search 0 time' THEN CONVERT(INT, IsNull(value,0) * 10000) END) AS [SqlQOAvgSearch0time],
      MAX(CASE counter WHEN N'search 1 time' THEN CONVERT(INT, IsNull(value,0) * 10000) END) AS [SqlQOAvgSearch1time],
      MAX(CASE counter WHEN N'search 2 time' THEN CONVERT(INT, IsNull(value,0) * 10000) END) AS [SqlQOAvgSearch2time],
      MAX(CASE counter WHEN N'search 0 tasks' THEN CONVERT(INT, IsNull(value,0)) END) AS [SqlQOAvgSearch0tasks],
      MAX(CASE counter WHEN N'search 1 tasks' THEN CONVERT(INT, IsNull(value,0)) END) AS [SqlQOAvgSearch1tasks],
      MAX(CASE counter WHEN N'search 2 tasks' THEN CONVERT(INT, IsNull(value,0)) END) AS [SqlQOAvgSearch2tasks],
      MAX(CASE counter WHEN N'gain stage 0 to stage 1' THEN CONVERT(INT, IsNull(value,0) * 1000) END) AS [SqlQOAvgStage1gain],
      MAX(CASE counter WHEN N'gain stage 1 to stage 2' THEN CONVERT(INT, IsNull(value,0) * 1000) END) AS [SqlQOAvgStage2gain]
      FROM sys.dm_exec_query_optimizer_info WITH(nolock)
    ",0,1,1,b'\x89\x9aM\x1bQK\x19\xdd',b'Z\x93\xcb\\*\xac\x973',1,,,
51,"
      DECLARE @i bigint
      SET @i = (SELECT CASE WHEN occurrence = 0 THEN NULL ELSE occurrence END FROM sys.dm_exec_query_optimizer_info WITH(nolock) WHERE counter = N'optimizations')

      SELECT
      MAX(CASE counter WHEN N'trivial plan' THEN CONVERT(INT, 100000000 * (occurrence * 1.0) / @i) END) AS [SqlQOFracTrivPlan],
      MAX(CASE counter WHEN N'search 0' THEN CONVERT(INT, 100000000 * (occurrence * 1.0) / @i) END) AS [SqlQOFracSearch0],
      MAX(CASE counter WHEN N'search 1' THEN CONVERT(INT, 100000000 * (occurrence * 1.0) / @i) END) AS [SqlQOFracSearch1],
      MAX(CASE counter WHEN N'search 2' THEN CONVERT(INT, 100000000 * (occurrence * 1.0) / @i) END) AS [SqlQOFracSearch2],
      MAX(CASE counter WHEN N'timeout' THEN CONVERT(INT, 100000000 * (occurrence * 1.0) / @i) END) AS [SqlQOFracTimeout],
      MAX(CASE counter WHEN N'memory limit exceeded' THEN CONVERT(INT, 100000000 * (occurrence * 1.0) / @i) END) AS [SqlQOFracMemLimit],
      MAX(CASE counter WHEN N'search 0 time' THEN CONVERT(INT, IsNull(value,0) * 10000) END) AS [SqlQOAvgSearch0time],
      MAX(CASE counter WHEN N'search 1 time' THEN CONVERT(INT, IsNull(value,0) * 10000) END) AS [SqlQOAvgSearch1time],
      MAX(CASE counter WHEN N'search 2 time' THEN CONVERT(INT, IsNull(value,0) * 10000) END) AS [SqlQOAvgSearch2time],
      MAX(CASE counter WHEN N'search 0 tasks' THEN CONVERT(INT, IsNull(value,0)) END) AS [SqlQOAvgSearch0tasks],
      MAX(CASE counter WHEN N'search 1 tasks' THEN CONVERT(INT, IsNull(value,0)) END) AS [SqlQOAvgSearch1tasks],
      MAX(CASE counter WHEN N'search 2 tasks' THEN CONVERT(INT, IsNull(value,0)) END) AS [SqlQOAvgSearch2tasks],
      MAX(CASE counter WHEN N'gain stage 0 to stage 1' THEN CONVERT(INT, IsNull(value,0) * 1000) END) AS [SqlQOAvgStage1gain],
      MAX(CASE counter WHEN N'gain stage 1 to stage 2' THEN CONVERT(INT, IsNull(value,0) * 1000) END) AS [SqlQOAvgStage2gain]
      FROM sys.dm_exec_query_optimizer_info WITH(nolock)
    ",0,1,1,b'f{O\xb92WO\xe7',b'\x83GW\xcb\xd2\xe8\xd0\xc8',1,,,
52,"
      -- In the following query, the corresponding database ID, symmetric database encryption key algorithm, TDE state, and database encryption key encryptor type are collected.
      SELECT database_id, key_algorithm, key_length, encryption_state, encryptor_type, COUNT_BIG(*) AS key_count FROM sys.dm_database_encryption_keys WITH(nolock) GROUP BY database_id, key_algorithm, key_length, encryption_state, encryptor_type
    ",1,0,0,"b'.dkN\x8fp,\x04'","b'\xc7""\xbfgpAO#'",1,,,
53,"
      --In the following query, the certificate certificate key length, and the certificate encryption type for TDE are collected.
      SELECT key_length, pvt_key_encryption_type, COUNT_BIG(*) AS cert_count FROM sys.certificates WITH(nolock) GROUP BY key_length, pvt_key_encryption_type
    ",0,1,1,b'\x9cb\xc4\xb2\xdb\xeeYU',b'm\xa4(#\xd7\xc0m\x93',1,,,
54,"
      -- In the following query, the EKM provider type (cryptographic provider or not) and the asymmetric key algorithm for TDE are collected.
      SELECT provider_type, algorithm_desc, COUNT_BIG(*) AS key_count FROM sys.asymmetric_keys WITH(nolock) GROUP BY provider_type, algorithm_desc
    ",1,0,0,b'}\xcf\x1c+\xaf\xc2Z\xc9',b'\xd6o\x91=S\xab\xca7',1,,,
55,select COUNT_BIG(*) AS ReadOnlyRoutingRuleCount from sys.availability_read_only_routing_lists WITH(nolock),1,1,1,b'\x83\xed|\x0f\xc9\xb1\xae\xe1',b'\xe6^\xa6\xab\x8a\xc8\x9eP',1,,,
56,"SELECT database_id, type, SUM(CAST(size AS BIGINT))*8 as DatabaseSize FROM sys.master_files WITH(nolock) GROUP BY database_id, type",0,10,10,b'\xdaNZ$3\xd7\x9e\x14',b'\xb3_\x81\x8c\xe5\xc6\x1f7',1,,,
57,"
      SELECT COUNT_BIG(*) AS TempDbDataFileCount FROM sys.master_files WITH(nolock) WHERE database_id = 2 AND [type] = 0
    ",0,1,1,b'\xca^\xb8\xd9\xfd\xa61\xd5',b'!\xdb\xf4\x19\xdc\xbb\x82\xa8',1,,,
58,"
      SELECT
      database_id,
      source_database_id AS SDID,
      create_date,
      compatibility_level,
      user_access,
      is_read_only,
      is_auto_close_on,
      is_auto_shrink_on,
      state,
      is_in_standby,
      is_cleanly_shutdown,
      is_supplemental_logging_enabled AS SLE,
      recovery_model,
      page_verify_option,
      is_auto_create_stats_on AS ACS,
      is_auto_create_stats_incremental_on AS ACSI,
      is_auto_update_stats_on AS AUS,
      is_auto_update_stats_async_on AUSA,
      is_fulltext_enabled AS FTE,
      is_trustworthy_on AS TW,
      is_db_chaining_on AS DBC,
      is_parameterization_forced AS PF,
      is_master_key_encrypted_by_server AS MKEBS,
      is_query_store_on AS QS,
      is_published AS TREPL,
      is_merge_published AS MREPL,
      is_distributor,
      is_sync_with_backup AS SWB,
      is_broker_enabled AS BE,
      log_reuse_wait,
      is_cdc_enabled AS CDC,
      is_encrypted,
      is_honor_broker_priority_on AS HBP,
      replica_id AS RID,
      group_database_id AS GDID,
      resource_pool_id AS RPID,
      containment,
      target_recovery_time_in_seconds AS TRT,
      delayed_durability,
      is_memory_optimized_elevate_to_snapshot_on AS MOES,
      is_remote_data_archive_enabled AS RDAE,
      collation_name AS DBCollation
      FROM sys.databases WITH(nolock)
    ",0,5,5,b'\xc3\xa4\xda-F\x96\xf6\x8c',b'_\x1d\xbd\xf7\xda\xe7o\n',1,,,
59,"
      SELECT cntr_value AS SqlServerMemory FROM sys.dm_os_performance_counters WITH(nolock) WHERE object_name = 'SQLServer:Memory Manager' AND counter_name = 'Total Server Memory (KB)'
    ",1,0,0,"b'2\xcb\xe4s\xe6,j\xaf'",b'\xef\xc3\x1e\x136s\x8e\x06',1,,,
60,"
      SELECT replica_id, group_id, is_local, role, operational_state, recovery_health, synchronization_health, connected_state, last_connect_error_number, last_connect_error_timestamp FROM sys.dm_hadr_availability_replica_states WITH(nolock)
    ",0,0,0,b'Ym\xc8.\xcbu\x15i',b'\xbd\xc8l\x19\xb0\xed\th',1,,,
61,"
      Select
      operation_type,
      total_operation_count
      from sys.dm_column_encryption_enclave_operation_stats WITH(nolock)
    ",0,0,0,b'\x10\xd0D\xe1\x85\xf2\x16\xaf',b'Zp\xb9\xaf\xb6?^?',1,,,
62,"
      Select
      current_enclave_session_count,
      current_column_encryption_key_count,
      current_memory_size_kb,
      total_evicted_session_count
      from sys.dm_column_encryption_enclave WITH(nolock)
    ",1,0,0,b'\xad\xff\xdewD\xe4\xa3\x06',b'N\xd43\x85E\xb8\r/',1,,,
63,"
      SELECT
      value_name,
      value_data
      FROM sys.dm_server_registry WITH(nolock)
      WHERE value_name = 'InstallId'
      OR (registry_key LIKE '%Polybase%' AND value_name = 'ScaleOutReady')
    ",0,1,1,"b""l'\xe1\x8e\xe0\x9e9\xd8""",b'\xc6\xed\xde\xb0;\xb3\x95t',1,,,
64,"
      SELECT startup_type, status
      FROM sys.dm_server_services WITH(nolock)
      WHERE servicename LIKE 'SQL Server Agent (%'
    ",1,1,1,b'_$\xc1\x96\xa6\x01U/',"b'|U<\x7f:\x18\x9f""'",1,,,
65,"
      SELECT database_id, database_guid,
      CASE
      WHEN db_name(database_id) LIKE '%WideWorldImportersDW%' THEN 'WideWorldImportersDW'
      WHEN db_name(database_id) LIKE '%WideWorldImporters%' THEN 'WideWorldImporters'
      WHEN db_name(database_id) LIKE '%AdventureWorks2016CTP3%' THEN 'AdventureWorks2016CTP3'
      WHEN db_name(database_id) LIKE '%AdventureWorksDW2016CTP3%' THEN 'AdventureWorksDW2016CTP3'
      WHEN db_name(database_id) LIKE '%AdventureWorks2014%' THEN 'AdventureWorks2014'
      WHEN db_name(database_id) LIKE '%AdventureWorksDW2014%' THEN 'AdventureWorksDW2014'
      WHEN db_name(database_id) LIKE '%AdventureWorks2012%' THEN 'AdventureWorks2012'
      WHEN db_name(database_id) LIKE '%AdventureWorksDW2012%' THEN 'AdventureWorksDW2012'
      WHEN db_name(database_id) LIKE '%AdventureWorks2008%' THEN 'AdventureWorks2008'
      WHEN db_name(database_id) LIKE '%AdventureWorksDW2008%' THEN 'AdventureWorksDW2008'
      WHEN db_name(database_id) LIKE '%AdventureWorksDW%' THEN 'AdventureWorksDW'
      WHEN db_name(database_id) LIKE '%AdventureWorks%' THEN 'AdventureWorks'
      WHEN db_name(database_id) LIKE '%ReportServerTempDB%' THEN 'ReportServerTempDB'
      WHEN db_name(database_id) LIKE '%ReportServer%' THEN 'ReportServer'
      WHEN db_name(database_id) LIKE '%WSS_Content%' THEN 'WSS_Content'
      WHEN db_name(database_id) LIKE '%MDW%' THEN 'MDW'
      WHEN db_name(database_id) LIKE '%MicrosoftDynamicsAX_baseline%' THEN 'MicrosoftDynamicsAX_baseline'
      WHEN db_name(database_id) LIKE '%MicrosoftDynamicsAX%' THEN 'MicrosoftDynamicsAX'
      WHEN db_name(database_id) = 'master' THEN 'master'
      WHEN db_name(database_id) = 'msdb' THEN 'msdb'
      WHEN db_name(database_id) = 'tempdb' THEN 'tempdb'
      WHEN db_name(database_id) = 'model' THEN 'model'
      WHEN db_name(database_id) LIKE '%SharePoint_Config%' THEN 'SharePoint_Config'
      WHEN db_name(database_id) LIKE '%SharePoint_AdminContent%' THEN 'SharePoint_AdminContent'
      WHEN db_name(database_id) LIKE '%AppManagement%' THEN 'AppManagement'
      WHEN db_name(database_id) LIKE '%Bdc_Service_DB%' THEN 'Bdc_Service_DB'
      WHEN db_name(database_id) LIKE '%Search_Service_Application_DB%' THEN 'Search_Service_Application_DB'
      WHEN db_name(database_id) LIKE '%Search_Service_Application_AnalyticsReportingStoreDB%' THEN 'Search_Service_Application_AnalyticsReportingStoreDB'
      WHEN db_name(database_id) LIKE '%Search_Service_Application_CrawlStoreDB%' THEN 'Search_Service_Application_CrawlStoreDB'
      WHEN db_name(database_id) LIKE '%Search_Service_Application_LinkStoreDB%' THEN 'Search_Service_Application_LinkStoreDB'
      WHEN db_name(database_id) LIKE '%Secure_Store_Service_DB%' THEN 'Secure_Store_Service_DB'
      WHEN db_name(database_id) LIKE '%SharePoint_Logging%' THEN 'SharePoint_Logging'
      WHEN db_name(database_id) LIKE '%SettingsServiceDB%' THEN 'SettingsServiceDB'
      WHEN db_name(database_id) LIKE '%User Profile Service Application_ProfileDB%' THEN 'User Profile Service Application_ProfileDB'
      WHEN db_name(database_id) LIKE '%User Profile Service Application_SyncDB%' THEN 'User Profile Service Application_SyncDB'
      WHEN db_name(database_id) LIKE '%User Profile Service Application_SocialDB%' THEN 'User Profile Service Application_SocialDB'
      WHEN db_name(database_id) LIKE '%WordAutomationServices%' THEN 'WordAutomationServices'
      WHEN db_name(database_id) LIKE '%Managed Metadata Service Application_Metadata%' THEN 'Managed Metadata Service Application_Metadata'
      WHEN db_name(database_id) LIKE '%SharePoint Translation Services%' THEN 'SharePoint Translation Services'
      WHEN db_name(database_id) LIKE '%ProjectWebApp%' THEN 'ProjectWebApp'
      WHEN db_name(database_id) LIKE '%DefaultPowerPivotServiceApplicationDB%' THEN 'DefaultPowerPivotServiceApplicationDB'
      WHEN db_name(database_id) LIKE '%PerformancePoint Service%' THEN 'PerformancePoint Service'
      WHEN db_name(database_id) LIKE '%SessionStateService%' THEN 'SessionStateService'
      WHEN db_name(database_id) = 'SSISDB' THEN 'SSISDB'
      WHEN db_name(database_id) = 'DQS_MAIN' THEN 'DQS_MAIN'
      ELSE 'Other'
      END AS default_database_class
      FROM sys.database_recovery_status WITH(nolock)
    ",60,5,5,b'U`\x1a\x1c\xe0\x84\xcey',b'_\xb6\xb5\x9eO|\xcbc',1,,,
